"자치구별(1)",자치구별(2),2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%),자가용승용차 (대),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장 (면수),주택가주차장확보율 (%)
"자치구별(1)",자치구별(2),소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계,소계,소계,노상,노외,건축물부설,소계
"서울시",소계,1956705,1536562,209571,29606,1297385,78.5,2041689,1667318,199575,25774,1441969,81.7,2055031,1760070,190659,29142,1540269,85.6,2094317,1823210,180611,31620,1610979,87.1,2139554,1923618,176324,37133,1710161,89.9,2205417,2049661,166650,41127,1841884,92.9,2225408,2079357,160794,41276,1877287,93.4,2248357,2134573,152269,38232,1944072,94.9,2283176,2206664,146153,40427,2020084,96.6,2301512,2261376,146536,46834,2068006,98.3,2317853,2296519,141865,49842,2104812,99.1,2338864,2333944,138583,48818,2146543,99.8,2387614,2390597,134018,51118,2205461,100.1,2437900,2445310,132234,51527,2261549,100.3,2475126,2512421,131924,53555,2326942,101.5,2513827,2560988,126220,55972,2378796,101.9,2526699,2592908,119591,56640,2416677,102.6,2538890,2614621,113673,56280,2444668,103,2581992,2676047,110267,55943,2509837,103.6,2609334,2720553,105832,57537,2557184,104.3,2633527,2804433,102804,57620,2644009,106.48962
"서울시",종로구,37601,13721,4249,602,8870,36.5,39848,15137,4328,582,10227,38,40804,20780,3890,542,16348,50.9,40852,19944,3345,670,15929,48.8,40344,20214,3016,708,16490,50.1,46056,20953,3085,678,17190,45.5,46685,20603,2859,778,16966,44.1,37259,32771,2707,882,29182,88,37289,32606,2603,831,29172,87.4,37792,34135,2539,891,30705,90.3,37716,36201,2483,1049,32669,96,37136,31241,2420,1049,27772,84.1,37040,31135,2245,1097,27793,84.1,37256,31461,2199,1084,28178,84.4,37195,27947,2316,1045,24586,75.1,38819,32112,2327,1057,28728,82.7,38959,32782,1994,1067,29721,84.1,38643,35538,1845,1287,32406,92,38953,35562,1793,1354,32415,91.3,38996,35773,1755,1156,32862,91.7,39056,34690,1661,1178,31851,88.82118
"서울시",중구,38342,24317,2005,1293,21019,63.4,37875,24524,1830,1026,21668,64.7,36572,24217,1774,1564,20879,66.2,36793,22425,1721,1333,19371,60.9,36927,22653,1665,1299,19689,61.3,46745,22791,1534,1433,19824,48.8,53812,25761,1482,1426,22853,47.9,37319,28499,1430,1412,25657,76.4,45928,36790,1407,1376,34007,80.1,44284,30845,1461,1391,27993,69.7,45937,34254,1435,1920,30899,74.6,41681,30629,1452,1920,27257,73.5,39714,30864,549,1991,28324,77.7,39106,31918,1436,2072,28410,81.6,38461,31782,1476,3169,27137,82.6,38540,30353,1280,1914,27159,78.8,38205,33102,1228,1923,29951,86.6,38341,33592,1106,1920,30566,87.6,38552,34415,896,2140,31379,89.3,47592,33851,844,2124,30883,71.1,44948,34056,861,2129,31066,75.76755
"서울시",용산구,46385,33037,5250,516,27271,71.2,55209,36746,5140,252,31354,66.6,54797,41617,5168,756,35693,75.9,55437,43175,4893,744,37538,77.9,56553,45087,4787,1682,38618,79.7,57400,49764,4557,1722,43485,86.7,59390,56546,4189,1651,50706,95.2,61680,57024,4087,1648,51289,92.5,62465,48809,4090,1632,43087,78.1,63706,63793,4152,1587,58054,100.1,63584,65971,4167,1604,60200,103.8,63490,69063,4159,2148,62756,108.8,63240,70584,4174,2148,64262,111.6,64104,72296,4174,2148,65974,112.8,64133,65875,4016,2274,59585,102.7,66023,71685,3782,1892,66011,108.6,66464,72580,3628,2006,66946,109.2,65989,72784,3588,2074,67122,110.3,68904,74463,3691,2181,68591,108.1,69749,69593,3453,2064,64076,99.8,65407,75458,3382,2125,69951,115.36686
"서울시",성동구,59307,62133,8012,1496,52625,104.8,62080,66561,8326,1001,57234,107.2,62822,53326,7934,1208,44184,84.9,64786,55275,7847,1369,46059,85.3,65856,58086,7963,1879,48244,88.2,67234,58565,7168,2161,49236,87.1,64195,62226,7603,1667,52956,96.9,65941,61136,7115,2258,51763,92.7,67773,58911,6696,2711,49504,86.9,67895,65194,6963,1900,56331,96,68651,59848,6984,2225,50639,87.2,70534,70547,7040,1986,61521,100,72303,76911,6742,2553,67616,106.4,74727,75903,6636,2458,66809,101.6,77361,80690,6794,2381,71515,104.3,81053,80954,6081,2427,72446,99.9,83654,78863,5012,2498,71353,94.3,82514,76731,5603,2514,68614,93,82602,89340,4709,2281,82350,108.2,82640,89181,4464,2352,82365,107.9,82795,89408,4247,2768,82393,107.9872
"서울시",광진구,67249,52536,13180,955,38401,78.1,69010,45648,5521,1372,38755,66.1,68209,50419,5864,909,43646,73.9,67916,34394,5666,905,27823,50.6,68477,64649,5727,1413,57509,94.4,69784,66682,5191,1308,60183,95.6,69888,70675,5215,1913,63547,101.1,71531,71559,4954,1503,65102,100,71910,72764,4523,2284,65957,101.2,73038,73350,4456,2456,66438,100.4,73857,77465,4274,2451,70740,104.9,74453,77676,4104,1730,71842,104.3,75070,79560,4073,1691,73796,106,76681,74324,3934,1691,68699,96.9,77610,77087,3666,1735,71686,99.3,79669,83296,3631,2490,77175,104.6,80190,83274,3408,2553,77313,103.8,79610,84999,3293,2308,79398,106.8,79661,93100,3175,2176,87749,116.9,79766,92790,2941,2103,87746,116.3,80403,90546,3013,1824,85709,112.6152
"서울시",동대문구,58228,51542,7828,1103,42611,88.5,61289,53223,7279,1399,44545,86.8,61158,57290,7415,690,49185,93.7,62786,58258,6416,1636,50206,92.8,63943,63528,6207,1717,55604,99.4,64712,71928,6157,1201,64570,111.2,64607,82512,5706,1063,75743,127.7,65777,77389,5259,1239,70891,117.7,67542,77596,5181,1174,71241,114.9,68837,86559,4944,1911,79704,125.7,69682,89050,4963,1917,82170,127.8,71117,87212,4828,2017,80367,122.6,72947,88043,4654,1919,81470,120.7,74503,88595,4598,1974,82023,118.9,75836,72978,4499,1896,66583,96.2,76639,72462,4369,2114,65979,94.5,78039,88142,4337,2121,81684,112.9,78232,89533,4126,1613,83794,114.4,79184,91694,3870,1765,86059,115.8,80187,96777,3792,2038,90947,120.7,81388,96756,3630,1896,91230,118.88239
