"동별(1)",동별(2),동별(3),2015,2015,2015,2015,2015,2015,2015,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020
"동별(1)",동별(2),동별(3),종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수,종류별 주택수
"동별(1)",동별(2),동별(3),소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,소계,단독주택,단독주택,단독주택,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택
"동별(1)",동별(2),동별(3),소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계,소계,소계,일반단독주택,다가구주택,영업겸용주택,소계,소계,소계,소계
"서울시",용산구,이촌2동,3391,59,13,14,32,2773,177,374,8,3415,60,11,13,36,2783,172,391,9
"서울시",용산구,이태원1동,2211,874,314,451,109,712,246,329,50,2198,815,304,409,102,712,246,373,52
"서울시",용산구,이태원2동,3111,1217,320,806,91,705,228,921,40,3058,1127,275,741,111,705,232,949,45
"서울시",용산구,서빙고동,4201,645,277,304,64,2611,250,688,7,4268,618,259,301,58,2608,254,780,8
"서울시",용산구,보광동,3614,2050,585,1295,170,550,81,895,38,3588,2024,564,1288,172,550,81,892,41
"서울시",용산구,청파동,5235,2028,710,1059,259,74,472,2587,74,5636,1837,623,1005,209,74,455,3186,84
"서울시",용산구,원효로1동,4663,671,271,284,116,3384,43,496,69,5251,563,219,228,116,3405,43,1161,79
"서울시",용산구,한강로동,5212,958,631,228,99,3719,104,344,87,6769,905,592,200,113,5192,162,431,79
"서울시",용산구,한남동,8050,1712,704,807,201,3414,1093,1760,71,8174,1630,653,759,218,3626,1068,1758,92
"서울시",성동구,소계,82331,11250,2414,7134,1702,59331,2076,8610,1064,91329,10525,1947,6759,1819,67584,1990,10158,1072
"서울시",성동구,왕십리2동,4039,645,86,474,85,3195,9,157,33,5060,608,79,437,92,4243,9,167,33
"서울시",성동구,마장동,6282,1262,548,482,232,4111,230,526,153,6564,1206,456,492,258,4173,212,816,157
"서울시",성동구,사근동,2813,814,174,545,95,974,55,906,64,3183,793,132,545,116,1288,55,982,65
"서울시",성동구,행당1동,3608,636,190,368,78,2346,X,572,54,4990,573,155,341,77,3680,X,680,57
"서울시",성동구,행당2동,8445,137,12,107,18,8134,16,153,5,8481,133,10,104,19,8134,16,194,X
"서울시",성동구,응봉동,5318,150,38,96,16,3868,42,1251,7,5322,150,37,96,17,3868,42,1254,8
"서울시",성동구,금호1가동,5643,97,38,30,29,4672,X,847,27,6021,77,20,27,30,5058,X,861,25
"서울시",성동구,금호4가동,5712,448,148,244,56,4849,101,275,39,5223,397,111,229,57,4439,101,254,32
"서울시",성동구,성수1가1동,4244,651,148,417,86,2625,325,545,98,4897,629,117,417,95,3313,307,557,91
"서울시",성동구,성수1가2동,3817,858,143,570,145,2345,200,312,102,3689,659,81,429,149,2345,200,389,96
"서울시",성동구,성수2가1동,4248,1092,122,773,197,1912,593,533,118,4288,1079,113,756,210,1913,567,599,130
"서울시",성동구,성수2가3동,2698,353,69,185,99,1912,57,292,84,2944,290,35,160,95,1912,57,589,96
"서울시",성동구,송정동,2096,968,122,769,77,765,86,254,23,2331,898,100,704,94,793,68,547,25
"서울시",성동구,용답동,2320,1496,115,1183,198,456,39,268,61,2504,1472,103,1162,207,621,27,327,57
"서울시",성동구,왕십리도선동,7085,573,144,269,160,6050,75,295,92,8480,544,128,247,169,7302,75,468,91
"서울시",성동구,금호2.3가동,6023,929,296,545,88,3610,129,1286,69,7453,893,251,543,99,5019,129,1338,74
"서울시",성동구,옥수동,7940,141,21,77,43,7507,119,138,35,9899,124,19,70,35,9483,125,136,31
"서울시",광진구,소계,79393,17034,809,13455,2770,29880,4434,26561,1484,89832,15332,617,11711,3004,32135,4054,36858,1453
"서울시",광진구,화양동,4384,1471,38,1198,235,756,133,1856,168,5296,1413,18,1127,268,1360,50,2315,158
